Name,Company Name,Company Name#,Address,Place,Zip,Sector,Product,Website,Region,Place.1,1,2,Unnamed: 12,Phone Number,Website2
desert solar,Desert Solar,Desert Solar,,"Apple Valley, California",92308,"Renewable Energy,Solar","Selling and installing commercial renewable energy projects, mainly solar.",,,Apple Valley, California,,,NA,NA
despatch industries,Despatch Industries,Despatch Industries,,"Minneapolis, Minnesota",55044,Solar,"Manufacturer of infrared drying and firing furnaces used in solar cell manufacture, and other thermal processing equipment.",,,Minneapolis, Minnesota,,,NA,NA
developing energy efficient roof systems deers,Developing Energy Efficient Roof Systems DEERS,Developing Energy Efficient Roof Systems DEERS,,"Ripon, California",95366,Solar,Developer of roof top solar PV projects.,,,Ripon, California,,,,
diamond wire technology llc,Diamond Wire Technology LLC,Diamond Wire Technology LLC,,"Colorado Springs, Colorado",80916,Solar,"US-based manufacturer of diamond wire and wiresaws, used in solar wafer manufacturing.",,,Colorado Springs, Colorado,,,NA,NA
digital gas inc,Digital Gas Inc,Digital Gas Inc,,"Dallas, Texas",,Solar,"Company with a number of subsidiaries involved in mining, solar power, waste burning, energy saving, farming and electronics.",,,Dallas, Texas,,,NA,NA
direct energy inc.,Direct Energy Inc.,Direct Energy Inc.,"12 Greenway Plaza, Suite 600","Houston, Texas",77046,"Services,Renewable Energy,Solar,Wind energy",Green Power Marketer,http://www.directenergy.com/,Texas Area,Houston, Texas,,,NA,www.directenergy.com/ 
discover power,Discover Power,Discover Power,,California,92109,"Renewable Energy,Solar",Distributor of solar electric and other renewable energy products.,,,California,,,,NA,NA
dovetail solar and wind,Dovetail Solar and Wind,Dovetail Solar and Wind,16675 Canaanville Hills Rd.,"Athens, Ohio",45701,"Bioenergy,Solar,Wind energy",Consulting; Engineering/architectural/design;Installation; Maintenance and repair; Retail product sales and distribution;Trainining and education,http://www.dovetailsolar.com,,Athens, Ohio,,,740-592-1800,www.dovetailsolar.com 
dri companies,DRI Companies,DRI Companies,,"Irvine, California",92614,Solar,"US-based residential and commercial installer of turnkey solar systems, through subsidiary iDRI Energy.",,,Irvine, California,,,NA,NA
"dupont electronic technologies, inc.","DuPont Electronic Technologies, Inc.","DuPont Electronic Technologies, Inc.",P.O. Box 89,"Athens, Ohio",45701,Solar,,http://www2.dupont.com/Electronics/en_US/,,Athens, Ohio,,,(800) 967-5607,www2.dupont.com/Electronics/en 
dynamic worldwide solar energy,Dynamic Worldwide Solar Energy,Dynamic Worldwide Solar Energy,,,,Solar,US-based solar developer and financer.,,,,,,,NA,NA
e village llc,E Village LLC,E Village LLC,,"Muskegon, Michigan",49440,"Solar,Wind energy",Manufacturer of integrated battery/solar/wind products for commercial and residential markets.,,,Muskegon, Michigan,,,,
e5 clean energy,E5 Clean Energy,E5 Clean Energy,,"Agoura Hills, California",91301,Solar,Sells solar energy systems.,,,Agoura Hills, California,,,NA,NA
"echogen power systems, inc.","Echogen Power Systems, Inc.","Echogen Power Systems, Inc.",405 S. High Street,"Akron, Ohio",44311,"Carbon,Efficiency,Geothermal energy,Services,Solar",Energy provider: power production; Engineering/architectural/design; Manufacturing; Research and development,http://www.echogen.com,,Akron, Ohio,,,234-542-4379,www.echogen.com 
"eco energy international, llc","Eco Energy International, LLC","Eco Energy International, LLC",233 Park Ave East,"Mansfield, Ohio,United States",44902,"Bioenergy,Biofuels,Biomass,Hydrogen,Renewable Energy,Solar,Wind energy",,http://www.EcoEnergyInternational.com,,Mansfield, Ohio,United States,,1-419-522-4444,https://www.facebook.com/ecohydrogen
ecogeneration solutions llc,EcoGeneration Solutions LLC,EcoGeneration Solutions LLC,,"Houston, Texas",77070,Solar,Holds several technology companies in the fields of cogeneration and solar energy systems.,,,Houston, Texas,,,NA,NA
ecowatt design llc,Ecowatt Design LLC,Ecowatt Design LLC,10900 Northwest Fwy,"Houston, Texas",77092,Solar,Solar power system installation for residential & commercial customers,http://www.ecowattdesign.com/,Texas Area,Houston, Texas,,,NA,www.ecowattdesign.com/ 
edge energy llc,EDGE Energy LLC,EDGE Energy LLC,,"Phoenix, Arizona",85018,Solar,Arizona-based solar developer focused on building commercial and utility-scale projects throughout the American Southwest.,,,Phoenix, Arizona,,,NA,NA
edison solar & wind ltd,Edison Solar & Wind Ltd,Edison Solar & Wind Ltd,"11 E. Church St, #57","Milan, Ohio",44846,"Geothermal energy,Solar,Wind energy",Agriculture; Consulting; Energy provider: power production; Engineering/architectural/design;Installation; Retail product sales and distribution,http://edisonsolar.net,,Milan, Ohio,,,419-499-0000,NA
electron solar energy formerly envigra inc,Electron Solar Energy Formerly Envigra Inc,Electron Solar Energy Formerly Envigra Inc,,"Miami, Florida",33137,Solar,"US-based distributor of electrical equipments such as batteries, solar panels, inverters and wires.",,,Miami, Florida,,,,
elemental energy,Elemental Energy,Elemental Energy,14500 SW 92nd Ave,"Portland, Oregon,United States",97224,"Biofuels,Biomass,Buildings,Efficiency,Geothermal energy,Renewable Energy,Solar,Vehicles,Wind energy",,http://www.elementalenergy.net,Pacific Northwest Area,Portland, Oregon,United States,,NA,www.elementalenergy.net 
elemental energy llc,Elemental Energy LLC,Elemental Energy LLC,,"New York, New York",10065,Solar,"Elemental Energy develops, owns and operates distributed solar energy facilities and sells solar-generated electricity through Power Purchase Agreements (PPA).",,,New York, New York,,Ukraine,NA,NA
emerging energy consultants,Emerging Energy Consultants,Emerging Energy Consultants,3307 Nicholas Court,"Ijamsville, Maryland",21754,Solar,Consulting on emerging energy technologies,,,Ijamsville, Maryland,,,301-865-3207,NA
empower energy technology,Empower Energy Technology,Empower Energy Technology,"245 N. Highland Avenue, Suite 230.162","Atlanta, Georgia",30307,Solar,,http://www.empoweret.com,,Atlanta, Georgia,,,4046813270,www.empoweret.com 
encap development llc,Encap Development LLC,Encap Development LLC,,Massachusetts,17200,"Efficiency,Renewable Energy,Services,Solar",,,,Massachusetts,,,,NA,NA
energistic systems,Energistic Systems,Energistic Systems,13551 W. 43rd Street Dr,"Golden, Colorado",80403,Solar,Solar PV and solar thermal systems,http://www.energisticsystems.us/,Rockies Area,Golden, Colorado,,,NA,www.energisticsystems.us/ 
energy conservation technologies econ inc,Energy Conservation Technologies Econ Inc,Energy Conservation Technologies Econ Inc,,"Boulder, Colorado",80301,"Efficiency,Solar","Energy Conservation Technologies Inc focuses on high efficiency electronic power conversion for the growing needs of the lighting, telecommunications, solar and fuel cell industries.",,,Boulder, Colorado,,,,
energy conversion devices inc aka ecd ovonics,Energy Conversion Devices Inc aka ECD Ovonics,Energy Conversion Devices Inc aka ECD Ovonics,,"Rochester Hills, Michigan",48309,Solar,Michigan-based materials developer and holding company for thin-film silicon PV manufacturer United Solar Ovonics.,,,Rochester Hills, Michigan,,,,
energy enterprises,Energy Enterprises,Energy Enterprises,,"Mays Landing, New Jersey",8330,Solar,"Energy Enterprises is a licensed dealer, installer, and servicer of solar energy systems, serving residential and commercial customers primarily in southern New Jersey.",,,Mays Landing, New Jersey,,,NA,NA
energy innovations,Energy Innovations,Energy Innovations,130 W. Union St,"Pasadena, California",91103,Solar,Small-scale concentrated PV,http://www.energyinnovations.com/,Southern CA Area,Pasadena, California,,,NA,www.energyinnovations.com/ 
energy optimizers usa,Energy Optimizers USA,Energy Optimizers USA,6 S. 3rd Street,"Tipp City, Ohio",45371,"Biomass,Carbon,Geothermal energy,Services,Solar,Wind energy",Business and legal services;Consulting;Energy audits/weatherization; Engineering/architectural/design;Installation;Investment/finances; Trainining and education,http://www.energyoptimizersusa.com,,Tipp City, Ohio,,,937-877-1919,www.energyoptimizersusa.com 
energy recommerce inc,Energy Recommerce Inc,Energy Recommerce Inc,,"San Francisco, California",94123,Solar,US-based manufacturer of internet-based remote solar monitoring system.,,,San Francisco, California,,,NA,NA
energy savings store,Energy Savings Store,Energy Savings Store,15209 W. 99th Street,"Lenexa, Kansas",66219,Solar,Solar and wind systems,http://www.ewindandsolar.com/,,Lenexa, Kansas,,,913-495-9434,www.ewindandsolar.com/ 
"energy solutions partners, llc","Energy Solutions Partners, LLC","Energy Solutions Partners, LLC",1915 denver west crt apt 1833,"Golden, Colorado",80401,Solar,Consulting - distributed energy,,Rockies Area,Golden, Colorado,,,435-632-1880,NA
"energy technologies, inc.","Energy Technologies, Inc.","Energy Technologies, Inc.",219 Park Avenue East,"Mansfield, Ohio",44902,"Biomass,Solar,Wind energy",Manufacturing,http://www.ruggedsystems.com,,Mansfield, Ohio,,,419-522-4444,www.ruggedsystems.com 
energy transfer-mde,Energy Transfer-MDE,Energy Transfer-MDE,1100 Steubenville Rd,"Carrollton, Ohio",4415,"Biofuels,Geothermal energy,Solar,Wind energy",Manufacturing,http://www.energytransferinc.com,,Carrollton, Ohio,,,330-627-4122,www.energytransferinc.com 
enfinity videocon jv,Enfinity Videocon JV,Enfinity Videocon JV,,India,,Solar,India-based JV to develop large-scale solar projects.,,,India,,,,,
"engineered process systems, ltd. (eps, ltd.)","Engineered Process Systems, Ltd. (EPS, Ltd.)","Engineered Process Systems, Ltd. (EPS, Ltd.)",PO Box 471,"Huron, Ohio",44839,"Biomass,Efficiency,Geothermal energy,Solar",Consulting; Energy provider: power production; Engineering/architectural/design;Installation;Investment/finances;Maintenance and repair; Retail product sales and distribution,http://www.bestuseofenergy.com,,Huron, Ohio,,,419-433-7048,www.bestuseofenergy.com 
entech solar inc formerly worldwater solar technologies,Entech Solar Inc formerly WorldWater Solar Technologies,Entech Solar Inc formerly WorldWater Solar Technologies,,"Fort Worth, Texas",76177,Solar,Texas-based solar energy systems manufacturer.,,,Fort Worth, Texas,,,,
entero energy,Entero Energy,Entero Energy,823 Congress Avenue,"Austin, Texas",78701,Solar,Design and develop renewable energy facilities with a focus on solar,http://www.enteroenergy.com/,Texas Area,Austin, Texas,,,NA,www.enteroenergy.com/ 
enterprise solar solutions,Enterprise Solar Solutions,Enterprise Solar Solutions,,New York,,Solar,New York-based company that specializes in commercial solar photovoltaic applications for businesses.,,,New York,,,,NA,NA
environmental solar systems,Environmental Solar Systems,Environmental Solar Systems,117 West Street,"Methuen, Massachusetts",1844,Solar,Solar thermal panels for home heating,http://www.environmentalsolarsystems.com/,Greater Boston Area,Methuen, Massachusetts,,,NA,www.environmentalsolarsystems. 
envision solar,Envision Solar,Envision Solar,4225 Executive Square,"San Diego, California",92037,Solar,Developing designs for converting parking lots into PV systems,http://www.envisionsolar.com/,Southern CA Area,San Diego, California,,,NA,www.envisionsolar.com/ 
eolian renewable energy llc,Eolian Renewable Energy LLC,Eolian Renewable Energy LLC,,"Portsmouth, New Hampshire",3801,"Solar,Wind energy","New Hampshire-based clean energy project developer, with focus on community wind and solar.",,,Portsmouth, New Hampshire,,,NA,NA
epir technologies,EPIR Technologies,EPIR Technologies,,"Bolingbrook, Illinois",6044,Solar,"EPIR develops a line of products targeted toward the infrared sensor, biosensor and solar photovoltaic industries.",,,Bolingbrook, Illinois,,,NA,NA
epuron llc,Epuron LLC,Epuron LLC,,"Philadelphia, Pennsylvania",19103,Solar,Epuron LLC is the US subsidiary of Germany solar developer Conergy.,,,Philadelphia, Pennsylvania,,,NA,NA
euro solar parks inc,Euro Solar Parks Inc,Euro Solar Parks Inc,,"Ho-ho-Kus, New Jersey",7423,Solar,"New Jersey-based solar developer focused on development of projects in Europe, specifically Greece, and South America.",,,Ho-ho-Kus, New Jersey,,,NA,NA
ev solar products,EV Solar Products,EV Solar Products,2655 N. Highway 89,"Chino Valley, Arizona",86323,Solar,renewable energy products and services,http://www.evsolar.com/,,Chino Valley, Arizona,,,(928) 636-2201,www.evsolar.com/ 
evans analytical group eag,Evans Analytical Group EAG,Evans Analytical Group EAG,,"Sunnyvale, California",94086,Solar,California-based firm involved in materials characterization. The company provides testing and performance measurements for solar PV energy systems.,,,Sunnyvale, California,,,,
"evergreen solar, inc.","Evergreen Solar, Inc.","Evergreen Solar, Inc.",138 Bartlett Street,"Malboro, Massachusetts",1752,Solar,"Manufactures solar wafers, cells and panels",http://www.evergreensolar.com/app/en/home/,Greater Boston Area,Malboro, Massachusetts,,,NA,www.evergreensolar.com/app/en/ 
exolis energy,Exolis Energy,Exolis Energy,"350 Sentry Parkway, Building 630","Blue Bell, Pennsylvania",19422,Solar,Esco with DG,,Northeast - NY NJ CT PA Area,Blue Bell, Pennsylvania,,,610-260-1449,NA
expert solar systems,Expert Solar Systems,Expert Solar Systems,11700 E. Sneller Vista,"Tucson, Arizona",85749,Solar,Solar energy systems,http://www.expertsolar.com/,,Tucson, Arizona,,,520-749-3538,www.expertsolar.com/ 
eyeon solar,EyeOn Solar,EyeOn Solar,,"Boulder, Colorado",80304,"Renewable Energy,Solar","EyeOn Solar develops, owns and operates renewable energy assets in the state of Colorado.",,,Boulder, Colorado,,,NA,NA
fafco inc,FAFCO Inc,FAFCO Inc,,"Chico, California",95928,Solar,US manufacturer of solar pool and residential heating using polymer and thermal energy storage.,,,Chico, California,,,NA,NA
far west rice,Far West Rice,Far West Rice,,"Nelson, California",95958,Solar,California-based family-owned rice mill. Owns a solar farm used mostly for the electricity needs of their factory.,,,Nelson, California,,,NA,NA
fas technologies llc,FAS Technologies LLC,FAS Technologies LLC,,"Dallas, Texas",75238,Solar,"US-based manufacturer of meterology and automation systems for semiconductor, flat panel display, medical and solar industries.",,,Dallas, Texas,,,NA,NA
ferro corporation,Ferro Corporation,Ferro Corporation,,"Cleveland, Ohio",44114-7000,Solar,Cleveland-based manufacturer of metal pastes and powders for solar energy applications.,,,Cleveland, Ohio,,,NA,NA
"fetz plumbing, heating & air conditioning","Fetz Plumbing, Heating & Air Conditioning","Fetz Plumbing, Heating & Air Conditioning",115 Washington Street - P.O. Box 516,"Urbana, Ohio",43078,"Efficiency,Geothermal energy,Services,Solar",Installation; Maintenance and repair,http://fetzphc.com,,Urbana, Ohio,,,937-652-1136,NA
filmetrics,Filmetrics,Filmetrics,11010 Roselle St Suite 150,"San Diego, California",92121,Solar,Makes instruments for measuring thin-layer films,http://www.filmetrics.com/,Southern CA Area,San Diego, California,,,,
first solar,First Solar,First Solar,"350 West Washington Street, Suite 600","Tempe, Arizona",85281,Solar,Solar energy systems,http://www.firstsolar.com/,,Tempe, Arizona,,,602-414-9300," http://www.nrel.gov/research_review/2007/deployment_thin_film.html
"
first solar electric llc formerly dt solar,First Solar Electric LLC formerly DT Solar,First Solar Electric LLC formerly DT Solar,,"Branchburg, New Jersey",8876,Solar,"PV project developer and installer, acquired by First Solar in November 2007, to develop large solar power projects in the US Southwest.",,,Branchburg, New Jersey,,,,
five star technologies,Five Star Technologies,Five Star Technologies,,"Independence, Ohio",44131,Solar,"US manufacturer of inks and pastes for the electronics industry; in solar, manufactures silver paste for screen printing PV cells.",,,Independence, Ohio,,,NA,NA
fletcher creamer son,Fletcher Creamer Son,Fletcher Creamer Son,,New Jersey,,Solar,New Jersey-based engineering and contracting firm that is also engaged in project development within the solar sector.,,,New Jersey,,,,,
florida solar energy research and education foundation flaseref,Florida Solar Energy Research and Education Foundation FlaSEREF,Florida Solar Energy Research and Education Foundation FlaSEREF,,Florida,34429,Solar,A non-profit organisation formed to foster the knowledge and use of solar energy in Florida.,,,Florida,,,,,
fls energy inc,FLS Energy Inc,FLS Energy Inc,,North Carolina,28711,"Services,Solar",North Carolina based company that provides commercial and home PV installations and the design of solar hot water systems. FLS also offers consulting services for companies looking for energy efficient solutions.,,,North Carolina,,,,NA,NA
"four seasons windpower, llc","Four Seasons Windpower, LLC","Four Seasons Windpower, LLC",1697 Wilbur Road,"Medina, Ohio",44256,"Solar,Wind energy",Retail product sales and distribution,http://www.fswindpower.com,,Medina, Ohio,,,866-412-8346,www.fswindpower.com 
fpc services inc,FPC Services Inc,FPC Services Inc,,"Sublette, Illinois",61367,"Solar,Wind energy","A developer of utility scale wind projects and an installer of small systems, of up to 51.0kW of wind and solar for individuals.",,,Sublette, Illinois,,,NA,NA
free energy alliance,Free Energy Alliance,Free Energy Alliance,,"Avon, Ohio",44011,"Solar,Wind energy",,http://www.freeenergyalliance.com,,Avon, Ohio,,,216-367-2332,www.freeenergyalliance.com 
freedom energy solutions llc,Freedom Energy Solutions LLC,Freedom Energy Solutions LLC,,"Westminster, Maryland",21157,"Geothermal energy,Solar","Retailer and installer of solar passive, PV and geothermal systems for household use.",,,Westminster, Maryland,,,NA,NA
freener g,Freener g,Freener g,,"Minneapolis, Minnesota",55408,Solar,Freener-g is a Minnesota company that offers solar electricity leasing in Minneapolis and St. Paul.,,,Minneapolis, Minnesota,,,,
freener-g,FreEner-g,FreEner-g,2740 31st Avenue South,"Minneapolis, Minnesota",55406,Solar,solar electric systems,http://www.freener-g.com/,,Minneapolis, Minnesota,,,612.605.5228,www.freener-g.com/ 
freener-g,FreEner-g,FreEner-g,2740 31st Avenue South,"Minneapolis, Minnesota",55406,Solar,solar electric systems,http://www.freener-g.com/,,Minneapolis, Minnesota,,,NA,NA
fronius usa llc,FRONIUS USA LLC,FRONIUS USA LLC,,"Brighton, Michigan 48116 USA, Michigan",,Solar,Focused on welding machines and solar inverters.,,,Brighton, Michigan 48116 USA, Michigan,,NA,NA
ftl solar,FTL Solar,FTL Solar,,"Austin, Texas",TX 78701,Solar,"FTL Solar develops lightweight, flexible tensile structures embedded with thin-film solar cells.",,,Austin, Texas,,,NA,NA
ftl solar llc,FTL Solar LLC,FTL Solar LLC,"44 East 32nd Street, Suite 350","New York, New York",10016,Solar,"Creator of flexible, tensile structures integrated with thin film solar cells",http://www.ftlsolar.com/,Northeast - NY NJ CT PA Area,New York, New York,,,NA,www.ftlsolar.com/ 
ga snc solar,GA SNC Solar,GA SNC Solar,,Nevada,,Solar,Nevada-based PV project developer and joint venture of GA-Solar North America and Sierra Nevada Corp.,,,Nevada,,,,,
gaiam real goods,Gaiam Real Goods,Gaiam Real Goods,833 W So. Boulder Rd,"Boulder, Colorado",80307,Solar,"PV panel, efficient lighting distributor",http://www.gaiam.com/realgoods/,Rockies Area,Boulder, Colorado,,,NA,www.gaiam.com/realgoods/ 
ge energy formerly ge power systems,GE Energy Formerly GE Power Systems,GE Energy Formerly GE Power Systems,,"Atlanta, Georgia",30339,"Renewable Energy,Solar,Wind energy","Atlanta-based supplier of power generation and energy delivery technologies in all areas of the energy industry including renewable resources such as water, wind, solar and alternative fuels.",,,Atlanta, Georgia,,,,
ge solar power,GE Solar Power,GE Solar Power,,Delaware,,Solar,,,,Delaware,,,,NA,NA
genesis electronics,Genesis Electronics,Genesis Electronics,,,,Solar,"Technology company, focusing on consumer applications for solar energy and alternative energy sources.",,,,,,,NA,NA
geogenix,GeoGenix,GeoGenix,,New Jersey,NJ 07760,Solar,US-based solar energy company.,,,New Jersey,,,,NA,NA
geoinnovation,GeoInnovation,GeoInnovation,"2828 N. Country Club, Suite 103","Tucson, Arizona",85716,Solar,,http://www.geoinnovation.com/,,Tucson, Arizona,,,(520) 615-3883,www.geoinnovation.com/ 
geopeak energy,GeoPeak Energy,GeoPeak Energy,285 Davidson Avenue,"Somerset, New Jersey",8873,Solar,Residential and Commercial PV Solar Installations,http://www.geopeakenergy.com,Northeast - NY NJ CT PA Area,Somerset, New Jersey,,,732-377-3700,www.geopeakenergy.com 
glasspoint solar inc,GlassPoint Solar Inc,GlassPoint Solar Inc,,"San Francisco, California",94105,Solar,"San Francisco-based developer and marketer of solar industrial process heat generating equipment for a wide range of industries including enhanced oil recovery, municipal waste water treatment and electrical power generation.",,,San Francisco, California,,,,
glasstech inc,GLASSTECH INC,GLASSTECH INC,,"Perrysburg, Ohio",43551,"Buildings,Efficiency,Services,Solar,Vehicles",,http://www.glasstech.com/default.aspx,,Perrysburg, Ohio,,,NA,www.glasstech.com/default.aspx 
global energy investors,Global Energy Investors,Global Energy Investors,,"Waltham, Massachusetts",2451,"Biomass,Hydro,Solar,Wind energy",Massachusetts-based Global Energy Investors was formed in 2009 to invest primarily in wind and solar power projects but it may also consider biomass and hydro projects.,,,Waltham, Massachusetts,,,NA,NA
global solar energy inc gse,Global Solar Energy Inc GSE,Global Solar Energy Inc GSE,,"Tucson, Arizona",85747,Solar,"US-based manufacturer of thin-film copper indium gallium diselenide (CIGS) solar cells with factory in Tucson, Arizona.",,,Tucson, Arizona,,,,
global warming solutions inc previously southern investments inc,Global Warming Solutions Inc previously Southern Investments Inc,Global Warming Solutions Inc previously Southern Investments Inc,,"Houston, Texas",77002,Solar,Developer of a combined PV and thermal energy solar system called light electric and thermal generator (LETG).,,,Houston, Texas,,,,
green energy ohio,Green Energy Ohio,Green Energy Ohio,"7870 Olentangy River Road, Suite 209","Columbus, Ohio",43235,"Biomass,Solar,Wind energy",Trainining and education,http://www.greenenergyohio.org,,Columbus, Ohio,,,614-985-6131,www.greenenergyohio.org 
green joules,Green Joules,Green Joules,,"Park City, Utah",80460,"Solar,Wind energy","Project developer focussing on wind farms larger than 100MW, and interested in pursuing commercial-scale solar power projects.",,,Park City, Utah,,,NA,NA
green power developers,Green Power Developers,Green Power Developers,366 Ramtown Greenville Rd.,"Howell,NJ",7731,Solar,,http://Greenpowerdevelopers.com,Northeast - NY NJ CT PA Area,Howell,NJ,,,,
green power group ltd,Green Power Group Ltd,Green Power Group Ltd,,,,Solar,A company under Nixon International Group specilized in solar technology R&D.,,,,,,,NA,NA
green solar finance,Green Solar Finance,Green Solar Finance,,Connecticut,,Solar,Connecticut-based arranger of financing for clients of solar project developers.,,,Connecticut,,,,NA,NA
greenfield solar corp.,GreenField Solar Corp.,GreenField Solar Corp.,7881 Root Road,"North Ridgeville, Ohio",44039,Solar,Installation; Manufacturing; Research and development,http://www.greenfieldsolar.com,,North Ridgeville, Ohio,,,216-535-9200,www.greenfieldsolar.com 
greenhunter energy inc,GreenHunter Energy Inc,GreenHunter Energy Inc,,"Grapevine, Texas",76051,"Biofuels,Renewable Energy,Solar,Wind energy","Renewable energy holding company specialising in wind, biofuels and solar projects.",,,Grapevine, Texas,,,NA,NA
greenlight energy resources inc ger,Greenlight Energy Resources Inc GER,Greenlight Energy Resources Inc GER,,"Charlottesville, Virginia",VA 22902,"Biofuels,Renewable Energy,Solar,Wind energy","Charlottesville-based venture capital investor in early-stage renewable energy companies in the biofuels, solar, & wind sectors.",,,Charlottesville, Virginia,,,,
greenvolts,GreenVolts,GreenVolts,50 First Street,"San Francisco, California",94105,Solar,PV developer,http://www.greenvolts.com/,Bay Area,San Francisco, California,,,NA," http://www.nrel.gov/technologytransfer/news/2009/677.html
"
grosolar,GroSolar,GroSolar,601 Old River Road Suite 3,"White River Junction, Vermont",5001,Solar,,http://www.grosolar.com,,White River Junction, Vermont,,,NA,www.grosolar.com 
grosolar formerly global resource options inc,GroSolar formerly Global Resource Options Inc,GroSolar formerly Global Resource Options Inc,,Vermont,VT 05001,Solar,"A solar integration firm that designs, distributes, and installs solar electric, hot water and air systems in the USA.",,,Vermont,,,,,
grounded renewable energy,Grounded Renewable Energy,Grounded Renewable Energy,,"Carbondale, Colorado",81623,"Renewable Energy,Solar",Grounded Renewable Energy designs turn-key solar systems for homes and businesses in Colorado.,,,Carbondale, Colorado,,,NA,NA
gt equipment techologies (gti),GT Equipment Techologies (Gti),GT Equipment Techologies (Gti),243 Daniel Webster Highway,"Merrimack, NH",3054,Solar,,http://www.gtsolar.com/index.php?m=about,,Merrimack, NH,,,,
"gt solar, inc.","GT Solar, Inc.","GT Solar, Inc.",243 Daniel Webster Highway,"Merrimack, New Hampshire",3054,Solar,solar power systems,http://www.gtsolar.com/,Northeast - NY NJ CT PA Area,Merrimack, New Hampshire,,,(603) 883-5200,www.gtsolar.com/ 
guardian industries corp,Guardian Industries Corp,Guardian Industries Corp,,"Auburn Hills, Michigan",48326-1714,Solar,Michigan-based firm that manufactures float glass and fabricated glass products. Applications of their products cover PV and Solar Thermal Electricity Generation (STEG).,,,Auburn Hills, Michigan,,,NA,NA
hackney construction,Hackney Construction,Hackney Construction,309 Farrens Creek Lane/PO Box 13,"Grangeville, Idaho",83530,Solar,"Green Building, renewable energy",http://DigitalProductsAndRenewableEnergy.com/,Rockies Area,Grangeville, Idaho,,,208-983-3109,NA
"harris battery company, inc.","Harris Battery Company, Inc.","Harris Battery Company, Inc.",10708 Industrial Pwky NW,"Bolivar, Ohio",44612,"Renewable Energy,Solar,Wind energy",Retail product sales and distribution,http://www.harrisbattery.com,,Bolivar, Ohio,,,330-874-0205,www.harrisbattery.com 
harvest solar,Harvest Solar,Harvest Solar,1571 East 22 Place,"Tulsa, Oklahoma",74114,Solar,Renewable energy systems,http://www.harvest-energy.com/,,Tulsa, Oklahoma,,,,
havasu solar electric,Havasu Solar Electric,Havasu Solar Electric,,Arizona,86401,Solar,Arizona-based electric contractors in the solar industry.,,,Arizona,,,,NA,NA
he solar llc,HE Solar LLC,HE Solar LLC,"100 Precision Drive, Suite 202","Buda, Texas,United States",78610,Solar,,http://www.hesolarllc.com,,Buda, Texas,United States,,512-921-6763,https://www.facebook.com/hesolarllc/
heart interface corporation,Heart Interface Corporation,Heart Interface Corporation,,"Kent, Washington State",98032,"Solar,Vehicles","Manufacturers of power inverters for remoted solar powered residences, vehicles and marine applications. Bought by Xantrex in 2000.",,,Kent, Washington State,,,NA,NA
helio micro utility inc,Helio Micro Utility Inc,Helio Micro Utility Inc,1827A Fifth Street,"Berkeley, California",94710,Solar,Contracts with solar installers to build and maintain solar power systems,http://www.heliomu.com/,Bay Area,Berkeley, California,,,NA,www.heliomu.com/ 
heliocentric,Heliocentric,Heliocentric,12401 East Wilderness Rd.,"Salt Lake City, Utah",84121,Solar,Renewable energy products and services,http://heliocentric.org/,,Salt Lake City, Utah,,,(801) 453-9434,NA
heliopower inc,HelioPower Inc,HelioPower Inc,,"Murrieta, California",92562,Solar,"Solar sales, installation and service company.",,,Murrieta, California,,,NA,NA
heliotronics inc,Heliotronics Inc,Heliotronics Inc,1083 Main Street,"Hingham, Massachusetts",2043,Solar,Monitoring systems for PV systems,http://www.heliotronics.com/,Greater Boston Area,Hingham, Massachusetts,,,NA,www.heliotronics.com/ 
heliovolt inc,HelioVolt Inc,HelioVolt Inc,8201 E. Riverside Dr,"Austin, Texas",78744,Solar,Thin-film solar panel producer,http://www.heliovolt.net/,Texas Area,Austin, Texas,,,NA,www.heliovolt.net/ 
hemlock semiconductor corp hsc,Hemlock Semiconductor Corp HSC,Hemlock Semiconductor Corp HSC,,"Hemlock, Michigan",48626,Solar,US-based manufacturer polycrystalline silicon for semiconductor and solar industries.,,,Hemlock, Michigan,,,,
hewlett packard company hp,Hewlett Packard Company HP,Hewlett Packard Company HP,,"Palo Alto, California",94304,Solar,"US-based personal and corporate computer manufacturer, software developer, and IT infrastructure company and owner of SunPower Corporation; designer, manufacturer and installer of solar powered electricity systems.",,,Palo Alto, California,,,,
home energy checkup/commercial energy checkup,Home Energy Checkup/Commercial Energy Checkup,Home Energy Checkup/Commercial Energy Checkup,20 High Street Suite 315,"Hamilton, Ohio",45011,"Buildings,Efficiency,Geothermal energy,Renewable Energy,Solar",,http://www.homeenergycheckup.com,,Hamilton, Ohio,,,513-939-9194,www.homeenergycheckup.com 
home energy systems inc,Home Energy Systems Inc,Home Energy Systems Inc,6996 Convoy Ct.,"San Diego, California",92111,Solar,Solar PV installer,http://www.homeenergysystemsinc.com/,Southern CA Area,San Diego, California,,,NA,www.homeenergysystemsinc.com/ 
honda research institute,Honda Research Institute,Honda Research Institute,,"Mountain View, California",,"Biofuels,Solar",California-based research institute of Honda. The institute conducts research into biofuels and solar technology.,,,Mountain View, California,,,NA,NA
hsc solar,HSC Solar,HSC Solar,18375 Ventura Blvd. #206,"Tarzana, CA",91356,Solar,Solar Installation,http://www.mysolarsystem.com,Southern CA Area,Tarzana, CA,,,8882726868,www.mysolarsystem.com 
